Site,Date,Comment
Jyndevad,03-05-2012,Fertilization 29.4 N, 14.7 P, kg ha-1
Jyndevad,07-05-2012,Tracer (potasium bromide), 30.54 kg ha-1
Jyndevad,17-05-2012,BBCH stage 9 – emergence
Jyndevad,22-05-2012,BBCH stage 11
Jyndevad,26-05-2012,BBCH stage 14-15
Jyndevad,26-05-2012,Fighter 480 (bentazone) - weeds - 1.0 L ha-1
Jyndevad,30-05-2012,BBCH stage 13
Jyndevad,30-05-2012,Biomass 41.7 g m-2 - 100% DM
Jyndevad,05-06-2012,BBCH stage 15
Jyndevad,05-06-2012,Callisto (mesotrione) - weeds - 1.5 L ha-1
Jyndevad,06-06-2012,BBCH stage 15
Jyndevad,15-06-2012,BBCH stage 16
Jyndevad,15-06-2012,Tomahawk 180 EC (fluroxypyr) + Catch (florasulam + 2,4 D) -1.5 L ha-1 + 0.06 L ha-1 - weeds - (none analysed)
Jyndevad,18-06-2012,BBCH stage 17
Jyndevad,25-06-2012,BBCH stage 19
Jyndevad,02-07-2012,BBCH stage 31
Jyndevad,10-07-2012,BBCH stage 35
Jyndevad,17-07-2012,BBCH stage 51
Jyndevad,18-07-2012,Biomass 2182.3 g m-2 - 100% DM
Jyndevad,23-07-2012,BBCH stage 53
Jyndevad,30-07-2012,BBCH stage 59
Jyndevad,05-08-2012,BBCH stage 63
Jyndevad,14-08-2012,BBCH stage 66
Jyndevad,17-08-2012,BBCH stage 67
Jyndevad,17-08-2012,Biomass 8241.8 g m-2 - 100% DM
Jyndevad,20-08-2012,BBCH stage 68
Jyndevad,27-08-2012,BBCH stage 72
Jyndevad,03-09-2012,BBCH stage 74
Jyndevad,13-09-2012,BBCH stage 82
Jyndevad,19-09-2012,BBCH stage 83
Jyndevad,24-09-2012,BBCH stage 84
Jyndevad,24-09-2012,Dry matter content whole plants 25.4%
Jyndevad,01-10-2012,BBCH stage 87
Jyndevad,01-10-2012,Dry matter content whole plants 27.5%
Jyndevad,08-10-2012,BBCH stage 88
Jyndevad,08-10-2012,Dry matter content whole plants 33.0%
Jyndevad,08-10-2012,Harvest of maize.Whole crop yield 151.41 hkg ha-1 - 100% DM. Stubble height 25 cm
Jyndevad,06-04-2013,Ploughing - 22 cm depth
Jyndevad,12-04-2013,Rolled with concrete roller
